s,A(s)/h (GHz),B(s)/h (GHz),C (normalized)
0.000,9.1044320,0.0667785,0.0000000
0.001,9.0453680,0.0683830,0.0042907
0.002,8.9868030,0.0700066,0.0085335
0.003,8.9290900,0.0716493,0.0126944
0.004,8.8722950,0.0733110,0.0167681
0.005,8.8161770,0.0749917,0.0207776
0.006,8.7608460,0.0766915,0.0247125
0.007,8.7061210,0.0784104,0.0285906
0.008,8.6520970,0.0801482,0.0324027
0.009,8.5989220,0.0819052,0.0361358
0.010,8.5463500,0.0836812,0.0398130
0.011,8.4944840,0.0854762,0.0434247
0.012,8.4431340,0.0872903,0.0469890
0.013,8.3925040,0.0891234,0.0504869
0.014,8.3424640,0.0909756,0.0539309
0.015,8.2928790,0.0928469,0.0573335
0.016,8.2439870,0.0947372,0.0606732
0.017,8.1955800,0.0966465,0.0639691
0.018,8.1478610,0.0985749,0.0672031
0.019,8.1006310,0.1005223,0.0703931
0.020,8.0540180,0.1024888,0.0735280
0.021,8.0078250,0.1044743,0.0766255
0.022,7.9622160,0.1064789,0.0796712
0.023,7.9170380,0.1085025,0.0826787
0.024,7.8724470,0.1105452,0.0856346
0.025,7.8282680,0.1126069,0.0885543
0.026,7.7846090,0.1146877,0.0914286
0.027,7.7414190,0.1167875,0.0942619
0.028,7.6986230,0.1189064,0.0970613
0.029,7.6563450,0.1210443,0.0998156
0.030,7.6144490,0.1232013,0.1025372
0.031,7.5730390,0.1253773,0.1052170
0.032,7.5319830,0.1275724,0.1078664
0.033,7.4913880,0.1297865,0.1104767
0.034,7.4512800,0.1320196,0.1130453
0.035,7.4114910,0.1342718,0.1155871
0.036,7.3720730,0.1365431,0.1180976
0.037,7.3329390,0.1388334,0.1205840
0.038,7.2941840,0.1411428,0.1230387
0.039,7.2559130,0.1434712,0.1254529
0.040,7.2179570,0.1458186,0.1278410
0.041,7.1803660,0.1481852,0.1301987
0.042,7.1431130,0.1505707,0.1325282
0.043,7.1062570,0.1529753,0.1348251
0.044,7.0696870,0.1553990,0.1370984
0.045,7.0333550,0.1578417,0.1393521
0.046,6.9974140,0.1603034,0.1415739
0.047,6.9618130,0.1627842,0.1437680
0.048,6.9264670,0.1652841,0.1459413
0.049,6.8915070,0.1678030,0.1480836
0.050,6.8569080,0.1703409,0.1501965
0.051,6.8225210,0.1728979,0.1522922
0.052,6.7884430,0.1754740,0.1543634
0.053,6.7546940,0.1780690,0.1564080
0.054,6.7211520,0.1806832,0.1584361
0.055,6.6879800,0.1833164,0.1604349
0.056,6.6549880,0.1859686,0.1624193
0.057,6.6221340,0.1886399,0.1643928
0.058,6.5896650,0.1913302,0.1663360
0.059,6.5573700,0.1940396,0.1682655
0.060,6.5254290,0.1967681,0.1701670
0.061,6.4937920,0.1995156,0.1720449
0.062,6.4622830,0.2022821,0.1739128
0.063,6.4311300,0.2050677,0.1757528
0.064,6.4001250,0.2078723,0.1775815
0.065,6.3694180,0.2106960,0.1793872
0.066,6.3389070,0.2135387,0.1811777
0.067,6.3086350,0.2164005,0.1829497
0.068,6.2786920,0.2192813,0.1846966
0.069,6.2488500,0.2221812,0.1864358
0.070,6.2193420,0.2251001,0.1881494
0.071,6.1899450,0.2280381,0.1898546
0.072,6.1609000,0.2309951,0.1915332
0.073,6.1318790,0.2339712,0.1932099
0.074,6.1032160,0.2369663,0.1948596
0.075,6.0746690,0.2399805,0.1965005
0.076,6.0463940,0.2430137,0.1981212
0.077,6.0181870,0.2460660,0.1997367
0.078,5.9903200,0.2491373,0.2013267
0.079,5.9625990,0.2522276,0.2029060
0.080,5.9351330,0.2553370,0.2044663
0.081,5.9077130,0.2584655,0.2060233
0.082,5.8806140,0.2616130,0.2075564
0.083,5.8536190,0.2647796,0.2090820
0.084,5.8268890,0.2679652,0.2105881
0.085,5.8001590,0.2711698,0.2120943
0.086,5.7737780,0.2743936,0.2135749
0.087,5.7474390,0.2776363,0.2150523
0.088,5.7214670,0.2808981,0.2165033
0.089,5.6954940,0.2841790,0.2179542
0.090,5.6697740,0.2874789,0.2193869
0.091,5.6442310,0.2907978,0.2208068
0.092,5.6189490,0.2941358,0.2222080
0.093,5.5938080,0.2974929,0.2235991
0.094,5.5686790,0.3008690,0.2249894
0.095,5.5437980,0.3042641,0.2263619
0.096,5.5189370,0.3076783,0.2277329
0.097,5.4943340,0.3111116,0.2290857
0.098,5.4697310,0.3145638,0.2304385
0.099,5.4452870,0.3180352,0.2317800
0.100,5.4210970,0.3215256,0.2331035
0.101,5.3970440,0.3250350,0.2344175
0.102,5.3732360,0.3285635,0.2357143
0.103,5.3494280,0.3321110,0.2370111
0.104,5.3258040,0.3356776,0.2382951
0.105,5.3023560,0.3392633,0.2395668
0.106,5.2790780,0.3428680,0.2408268
0.107,5.2560080,0.3464917,0.2420725
0.108,5.2329380,0.3501345,0.2433181
0.109,5.2099840,0.3537963,0.2445557
0.110,5.1871760,0.3574772,0.2457831
0.111,5.1644610,0.3611771,0.2470043
0.112,5.1419310,0.3648961,0.2482127
0.113,5.1194020,0.3686341,0.2494212
0.114,5.0969620,0.3723912,0.2506236
0.115,5.0748300,0.3761673,0.2518049
0.116,5.0527180,0.3799625,0.2529849
0.117,5.0309370,0.3837767,0.2541428
0.118,5.0091550,0.3876100,0.2553006
0.119,4.9873730,0.3914623,0.2564584
0.120,4.9658380,0.3953337,0.2575997
0.121,4.9443800,0.3992241,0.2587358
0.122,4.9231170,0.4031336,0.2598589
0.123,4.9020060,0.4070621,0.2609720
0.124,4.8808950,0.4110096,0.2620851
0.125,4.8598090,0.4149762,0.2631965
0.126,4.8389820,0.4189619,0.2642908
0.127,4.8181550,0.4229666,0.2653850
0.128,4.7975930,0.4269904,0.2664619
0.129,4.7770820,0.4310332,0.2675356
0.130,4.7565710,0.4350950,0.2686092
0.131,4.7361300,0.4391760,0.2696782
0.132,4.7159410,0.4432759,0.2707307
0.133,4.6957520,0.4473949,0.2717833
0.134,4.6757860,0.4515330,0.2728214
0.135,4.6558470,0.4556901,0.2738578
0.136,4.6359080,0.4598662,0.2748942
0.137,4.6160000,0.4640614,0.2759285
0.138,4.5963480,0.4682757,0.2769465
0.139,4.5766960,0.4725090,0.2779644
0.140,4.5572800,0.4767613,0.2789673
0.141,4.5379380,0.4810327,0.2799656
0.142,4.5185960,0.4853231,0.2809638
0.143,4.4992540,0.4896326,0.2819620
0.144,4.4801420,0.4939612,0.2829457
0.145,4.4610950,0.4983088,0.2839252
0.146,4.4421740,0.5026754,0.2848969
0.147,4.4234490,0.5070611,0.2858563
0.148,4.4047250,0.5114658,0.2868157
0.149,4.3860010,0.5158896,0.2877750
0.150,4.3673390,0.5203325,0.2887305
0.151,4.3489290,0.5247943,0.2896704
0.152,4.3305180,0.5292753,0.2906102
0.153,4.3123290,0.5337753,0.2915364
0.154,4.2942170,0.5382943,0.2924580
0.155,4.2761060,0.5428324,0.2933795
0.156,4.2579940,0.5473895,0.2943010
0.157,4.2399810,0.5519657,0.2952165
0.158,4.2221540,0.5565609,0.2961206
0.159,4.2043270,0.5611752,0.2970247
0.160,4.1867180,0.5658085,0.2979157
0.161,4.1691520,0.5704609,0.2988040
0.162,4.1515870,0.5751323,0.2996923
0.163,4.1340220,0.5798228,0.3005807
0.164,4.1165110,0.5845323,0.3014657
0.165,4.0991900,0.5892609,0.3023393
0.166,4.0818680,0.5940085,0.3032130
0.167,4.0647260,0.5987751,0.3040761
0.168,4.0476700,0.6035609,0.3049340
0.169,4.0306150,0.6083656,0.3057920
0.170,4.0135590,0.6131894,0.3066499
0.171,3.9965030,0.6180323,0.3075079
0.172,3.9796930,0.6228942,0.3083514
0.173,3.9629240,0.6277752,0.3091925
0.174,3.9462250,0.6326752,0.3100295
0.175,3.9297400,0.6375942,0.3108542
0.176,3.9132540,0.6425323,0.3116789
0.177,3.8967690,0.6474895,0.3125036
0.178,3.8802830,0.6524657,0.3133283
0.179,3.8638510,0.6574610,0.3141500
0.180,3.8476340,0.6624753,0.3149592
0.181,3.8314170,0.6675086,0.3157684
0.182,3.8153320,0.6725610,0.3165700
0.183,3.7993650,0.6776325,0.3173650
0.184,3.7833980,0.6827230,0.3181600
0.185,3.7674300,0.6878325,0.3189550
0.186,3.7514630,0.6929611,0.3197500
0.187,3.7355520,0.6981087,0.3205419
0.188,3.7198200,0.7032754,0.3213236
0.189,3.7040880,0.7084612,0.3221053
0.190,3.6884870,0.7136660,0.3228798
0.191,3.6730000,0.7188898,0.3236479
0.192,3.6575130,0.7241327,0.3244161
0.193,3.6420260,0.7293946,0.3251843
0.194,3.6265380,0.7346756,0.3259524
0.195,3.6110530,0.7399757,0.3267205
0.196,3.5958250,0.7452947,0.3274744
0.197,3.5805980,0.7506329,0.3282284
0.198,3.5654380,0.7559901,0.3289787
0.199,3.5504790,0.7613663,0.3297181
0.200,3.5355200,0.7667616,0.3304575
0.201,3.5205620,0.7721759,0.3311970
0.202,3.5056030,0.7776093,0.3319364
0.203,3.4906440,0.7830617,0.3326758
0.204,3.4758020,0.7885332,0.3334090
0.205,3.4610960,0.7940237,0.3341349
0.206,3.4463900,0.7995333,0.3348607
0.207,3.4318330,0.8050619,0.3355787
0.208,3.4173590,0.8106096,0.3362923
0.209,3.4028850,0.8161763,0.3370059
0.210,3.3884110,0.8217620,0.3377195
0.211,3.3739370,0.8273669,0.3384331
0.212,3.3594630,0.8329907,0.3391467
0.213,3.3451330,0.8386336,0.3398528
0.214,3.3309030,0.8442956,0.3405538
0.215,3.3166730,0.8499766,0.3412547
0.216,3.3026220,0.8556767,0.3419465
0.217,3.2886350,0.8613958,0.3426351
0.218,3.2746480,0.8671340,0.3433236
0.219,3.2606620,0.8728912,0.3440121
0.220,3.2466750,0.8786674,0.3447007
0.221,3.2326880,0.8844627,0.3453892
0.222,3.2187690,0.8902771,0.3460743
0.223,3.2049520,0.8961105,0.3467542
0.224,3.1911350,0.9019629,0.3474342
0.225,3.1774190,0.9078344,0.3481091
0.226,3.1638000,0.9137250,0.3487792
0.227,3.1501810,0.9196346,0.3494493
0.228,3.1365620,0.9255632,0.3501194
0.229,3.1229430,0.9315109,0.3507895
0.230,3.1093240,0.9374777,0.3514596
0.231,3.0957050,0.9434635,0.3521297
0.232,3.0823550,0.9494683,0.3527867
0.233,3.0690140,0.9554922,0.3534432
0.234,3.0556730,0.9615352,0.3540996
0.235,3.0425650,0.9675971,0.3547449
0.236,3.0294570,0.9736782,0.3553902
0.237,3.0163480,0.9797783,0.3560355
0.238,3.0032400,0.9858974,0.3566808
0.239,2.9901320,0.9920356,0.3573261
0.240,2.9770230,0.9981928,0.3579714
0.241,2.9639430,1.0043690,0.3586153
0.242,2.9510320,1.0105640,0.3592514
0.243,2.9381200,1.0167790,0.3598875
0.244,2.9252480,1.0230120,0.3605218
0.245,2.9125620,1.0292650,0.3611474
0.246,2.8998770,1.0355360,0.3617730
0.247,2.8871910,1.0418270,0.3623987
0.248,2.8745050,1.0481360,0.3630243
0.249,2.8618200,1.0544650,0.3636499
0.250,2.8491340,1.0608130,0.3642756
0.251,2.8364560,1.0671800,0.3649009
0.252,2.8240150,1.0735650,0.3655155
0.253,2.8115730,1.0799700,0.3661302
0.254,2.7991340,1.0863940,0.3667447
0.255,2.7869370,1.0928370,0.3673486
0.256,2.7747400,1.0992990,0.3679526
0.257,2.7625420,1.1057800,0.3685565
0.258,2.7503450,1.1122800,0.3691605
0.259,2.7381480,1.1188000,0.3697644
0.260,2.7259510,1.1253380,0.3703683
0.261,2.7137530,1.1318950,0.3709723
0.262,2.7016580,1.1384710,0.3715718
0.263,2.6896450,1.1450670,0.3721678
0.264,2.6776320,1.1516810,0.3727637
0.265,2.6657000,1.1583150,0.3733563
0.266,2.6538540,1.1649670,0.3739451
0.267,2.6420080,1.1716390,0.3745340
0.268,2.6301620,1.1783290,0.3751229
0.269,2.6183160,1.1850390,0.3757118
0.270,2.6064700,1.1917680,0.3763007
0.271,2.5946240,1.1985150,0.3768895
0.272,2.5827790,1.2052820,0.3774784
0.273,2.5710950,1.2120680,0.3780607
0.274,2.5594550,1.2188730,0.3786412
0.275,2.5478140,1.2256970,0.3792217
0.276,2.5363130,1.2325400,0.3797965
0.277,2.5248720,1.2394020,0.3803691
0.278,2.5134300,1.2462830,0.3809416
0.279,2.5019890,1.2531830,0.3815141
0.280,2.4905470,1.2601020,0.3820867
0.281,2.4791050,1.2670410,0.3826592
0.282,2.4676640,1.2739980,0.3832317
0.283,2.4562220,1.2809740,0.3838042
0.284,2.4449340,1.2879700,0.3843709
0.285,2.4337070,1.2949840,0.3849353
0.286,2.4224790,1.3020170,0.3854997
0.287,2.4114030,1.3090700,0.3860585
0.288,2.4004180,1.3161420,0.3866138
0.289,2.3894330,1.3232320,0.3871691
0.290,2.3784490,1.3303420,0.3877244
0.291,2.3674640,1.3374710,0.3882798
0.292,2.3564790,1.3446180,0.3888351
0.293,2.3454950,1.3517850,0.3893904
0.294,2.3345100,1.3589710,0.3899457
0.295,2.3235790,1.3661760,0.3904991
0.296,2.3127600,1.3734000,0.3910483
0.297,2.3019420,1.3806430,0.3915975
0.298,2.2911500,1.3879050,0.3921457
0.299,2.2804810,1.3951860,0.3926897
0.300,2.2698120,1.4024860,0.3932336
0.301,2.2591430,1.4098060,0.3937775
0.302,2.2484740,1.4171440,0.3943215
0.303,2.2378050,1.4245010,0.3948654
0.304,2.2271360,1.4318780,0.3954093
0.305,2.2164660,1.4392730,0.3959533
0.306,2.2057970,1.4466870,0.3964972
0.307,2.1952650,1.4541210,0.3970366
0.308,2.1848000,1.4615740,0.3975737
0.309,2.1743350,1.4690450,0.3981108
0.310,2.1639670,1.4765360,0.3986448
0.311,2.1536940,1.4840450,0.3991757
0.312,2.1434210,1.4915740,0.3997066
0.313,2.1331480,1.4991220,0.4002375
0.314,2.1228750,1.5066890,0.4007684
0.315,2.1126020,1.5142750,0.4012993
0.316,2.1023290,1.5218800,0.4018301
0.317,2.0920560,1.5295040,0.4023610
0.318,2.0817830,1.5371470,0.4028919
0.319,2.0716540,1.5448090,0.4034186
0.320,2.0615820,1.5524900,0.4039435
0.321,2.0515090,1.5601900,0.4044685
0.322,2.0415610,1.5679090,0.4049898
0.323,2.0317080,1.5756480,0.4055083
0.324,2.0218550,1.5834050,0.4060268
0.325,2.0120030,1.5911820,0.4065453
0.326,2.0021500,1.5989770,0.4070638
0.327,1.9922970,1.6067910,0.4075823
0.328,1.9824450,1.6146250,0.4081008
0.329,1.9725920,1.6224780,0.4086193
0.330,1.9627400,1.6303490,0.4091378
0.331,1.9529630,1.6382400,0.4096542
0.332,1.9432640,1.6461500,0.4101685
0.333,1.9335650,1.6540780,0.4106827
0.334,1.9239160,1.6620260,0.4111957
0.335,1.9143700,1.6699930,0.4117059
0.336,1.9048250,1.6779790,0.4122162
0.337,1.8952800,1.6859840,0.4127265
0.338,1.8857340,1.6940080,0.4132367
0.339,1.8761890,1.7020510,0.4137470
0.340,1.8666440,1.7101130,0.4142573
0.341,1.8570990,1.7181940,0.4147675
0.342,1.8475530,1.7262950,0.4152778
0.343,1.8380230,1.7344140,0.4157877
0.344,1.8286770,1.7425520,0.4162931
0.345,1.8193320,1.7507100,0.4167986
0.346,1.8099860,1.7588860,0.4173040
0.347,1.8007880,1.7670810,0.4178060
0.348,1.7916100,1.7752960,0.4183075
0.349,1.7824310,1.7835300,0.4188090
0.350,1.7732530,1.7917820,0.4193105
0.351,1.7640740,1.8000540,0.4198121
0.352,1.7548950,1.8083450,0.4203136
0.353,1.7457170,1.8166540,0.4208151
0.354,1.7365380,1.8249830,0.4213166
0.355,1.7273600,1.8333310,0.4218181
0.356,1.7182400,1.8416980,0.4223185
0.357,1.7092070,1.8500840,0.4228172
0.358,1.7001730,1.8584890,0.4233159
0.359,1.6911850,1.8669130,0.4238137
0.360,1.6823270,1.8753560,0.4243089
0.361,1.6734690,1.8838180,0.4248041
0.362,1.6646100,1.8922990,0.4252994
0.363,1.6557520,1.9008000,0.4257946
0.364,1.6468940,1.9093190,0.4262898
0.365,1.6380360,1.9178570,0.4267851
0.366,1.6291780,1.9264150,0.4272803
0.367,1.6203200,1.9349910,0.4277756
0.368,1.6114620,1.9435870,0.4282708
0.369,1.6027070,1.9522010,0.4287643
0.370,1.5940210,1.9608350,0.4292567
0.371,1.5853350,1.9694870,0.4297490
0.372,1.5767230,1.9781590,0.4302402
0.373,1.5682020,1.9868500,0.4307300
0.374,1.5596810,1.9955600,0.4312197
0.375,1.5511600,2.0042880,0.4317095
0.376,1.5426390,2.0130360,0.4321992
0.377,1.5341180,2.0218030,0.4326890
0.378,1.5255970,2.0305890,0.4331788
0.379,1.5170770,2.0393940,0.4336685
0.380,1.5085560,2.0482180,0.4341583
0.381,1.5000350,2.0570610,0.4346480
0.382,1.4916320,2.0659240,0.4351363
0.383,1.4832940,2.0748050,0.4356238
0.384,1.4749560,2.0837050,0.4361113
0.385,1.4667120,2.0926240,0.4365978
0.386,1.4585570,2.1015630,0.4370832
0.387,1.4504010,2.1105200,0.4375686
0.388,1.4422460,2.1194970,0.4380540
0.389,1.4340910,2.1284920,0.4385394
0.390,1.4259360,2.1375070,0.4390249
0.391,1.4177810,2.1465400,0.4395103
0.392,1.4096260,2.1555930,0.4399957
0.393,1.4014710,2.1646650,0.4404811
0.394,1.3933160,2.1737560,0.4409665
0.395,1.3852570,2.1828650,0.4414513
0.396,1.3772740,2.1919940,0.4419355
0.397,1.3692910,2.2011420,0.4424197
0.398,1.3613840,2.2103090,0.4429034
0.399,1.3535680,2.2194950,0.4433866
0.400,1.3457520,2.2287000,0.4438697
0.401,1.3379360,2.2379240,0.4443528
0.402,1.3301200,2.2471670,0.4448359
0.403,1.3223040,2.2564300,0.4453191
0.404,1.3144880,2.2657110,0.4458022
0.405,1.3066720,2.2750110,0.4462853
0.406,1.2988560,2.2843300,0.4467684
0.407,1.2910400,2.2936690,0.4472515
0.408,1.2832740,2.3030260,0.4477345
0.409,1.2755780,2.3124030,0.4482172
0.410,1.2678820,2.3217980,0.4486998
0.411,1.2602330,2.3312130,0.4491824
0.412,1.2526720,2.3406470,0.4496649
0.413,1.2451110,2.3500990,0.4501473
0.414,1.2375490,2.3595710,0.4506297
0.415,1.2299880,2.3690620,0.4511121
0.416,1.2224270,2.3785720,0.4515946
0.417,1.2148660,2.3881010,0.4520770
0.418,1.2073050,2.3976490,0.4525594
0.419,1.1997430,2.4072150,0.4530418
0.420,1.1921820,2.4168020,0.4535243
0.421,1.1846690,2.4264070,0.4540068
0.422,1.1772970,2.4360310,0.4544896
0.423,1.1699260,2.4456740,0.4549724
0.424,1.1625900,2.4553360,0.4554553
0.425,1.1553830,2.4650170,0.4559386
0.426,1.1481750,2.4747180,0.4564219
0.427,1.1409670,2.4844370,0.4569053
0.428,1.1337590,2.4941760,0.4573886
0.429,1.1265520,2.5039330,0.4578719
0.430,1.1193440,2.5137100,0.4583552
0.431,1.1121360,2.5235050,0.4588385
0.432,1.1049290,2.5333200,0.4593218
0.433,1.0977210,2.5431530,0.4598051
0.434,1.0905290,2.5530060,0.4602886
0.435,1.0834690,2.5628780,0.4607731
0.436,1.0764090,2.5727690,0.4612577
0.437,1.0693690,2.5826790,0.4617424
0.438,1.0624730,2.5926080,0.4622282
0.439,1.0555780,2.6025550,0.4627140
0.440,1.0486820,2.6125220,0.4631998
0.441,1.0417860,2.6225090,0.4636856
0.442,1.0348900,2.6325140,0.4641713
0.443,1.0279940,2.6425380,0.4646571
0.444,1.0210980,2.6525810,0.4651429
0.445,1.0142030,2.6626430,0.4656287
0.446,1.0073070,2.6727250,0.4661145
0.447,1.0004140,2.6828250,0.4666003
0.448,0.9936474,2.6929440,0.4670876
0.449,0.9868806,2.7030830,0.4675749
0.450,0.9801258,2.7132400,0.4680623
0.451,0.9734958,2.7234170,0.4685515
0.452,0.9668658,2.7336120,0.4690407
0.453,0.9602358,2.7438270,0.4695298
0.454,0.9536058,2.7540610,0.4700190
0.455,0.9469758,2.7643140,0.4705082
0.456,0.9403458,2.7745850,0.4709973
0.457,0.9337158,2.7848760,0.4714865
0.458,0.9270858,2.7951860,0.4719757
0.459,0.9204558,2.8055150,0.4724648
0.460,0.9138302,2.8158630,0.4729541
0.461,0.9073728,2.8262300,0.4734464
0.462,0.9009154,2.8366160,0.4739387
0.463,0.8944822,2.8470210,0.4744315
0.464,0.8881802,2.8574450,0.4749268
0.465,0.8818782,2.8678890,0.4754221
0.466,0.8755762,2.8783510,0.4759174
0.467,0.8692742,2.8888320,0.4764127
0.468,0.8629722,2.8993330,0.4769080
0.469,0.8566702,2.9098520,0.4774032
0.470,0.8503683,2.9203910,0.4778985
0.471,0.8440663,2.9309480,0.4783938
0.472,0.8377643,2.9415250,0.4788891
0.473,0.8314898,2.9521200,0.4793851
0.474,0.8253317,2.9627350,0.4798838
0.475,0.8191736,2.9733690,0.4803826
0.476,0.8130724,2.9840210,0.4808827
0.477,0.8070643,2.9946930,0.4813850
0.478,0.8010562,3.0053840,0.4818873
0.479,0.7950481,3.0160940,0.4823896
0.480,0.7890400,3.0268230,0.4828918
0.481,0.7830319,3.0375710,0.4833941
0.482,0.7770238,3.0483380,0.4838964
0.483,0.7710157,3.0591240,0.4843987
0.484,0.7650076,3.0699290,0.4849009
0.485,0.7589995,3.0807540,0.4854032
0.486,0.7530703,3.0915970,0.4859078
0.487,0.7472098,3.1024590,0.4864144
0.488,0.7413492,3.1133410,0.4869210
0.489,0.7356126,3.1242410,0.4874314
0.490,0.7299109,3.1351600,0.4879428
0.491,0.7242091,3.1460990,0.4884543
0.492,0.7185074,3.1570560,0.4889657
0.493,0.7128057,3.1680330,0.4894772
0.494,0.7071040,3.1790290,0.4899886
0.495,0.7014023,3.1900430,0.4905001
0.496,0.6957005,3.2010770,0.4910116
0.497,0.6899988,3.2121300,0.4915230
0.498,0.6843087,3.2232020,0.4920348
0.499,0.6787325,3.2342930,0.4925505
